the,200
be,198
to,196
of,194
and,192
a,190
in,188
that,186
have,184
it,182
for,180
not,178
on,176
with,174
he,172
as,170
you,168
do,166
at,164
this,162
but,160
his,158
by,156
from,154
they,152
we,150
say,148
her,146
she,144
or,142
an,140
will,138
my,136
one,134
all,132
would,130
there,128
their,126
what,124
so,122
up,120
out,118
if,116
about,114
who,112
get,110
which,108
go,106
me,104
when,102
make,100
can,98
like,96
time,94
no,92
just,90
him,88
know,86
take,84
people,82
into,80
year,78
your,76
good,74
some,72
could,70
them,68
see,66
other,64
than,62
then,60
now,58
look,56
only,54
come,52
its,50
over,48
think,46
also,44
back,42
after,40
use,38
two,36
how,34
our,32
work,30
first,28
well,26
way,24
even,22
new,20
want,18
because,16
any,14
these,12
give,10
day,10
most,10
us,10
great,9
between,9
need,9
large,9
often,9
hand,9
high,9
place,9
hold,9
turn,9
help,9
point,9
city,9
play,9
small,8
number,8
off,8
always,8
next,8
food,8
hear,8
home,8
does,8
show,8
begin,8
much,8
right,8
change,7
read,7
never,7
last,7
school,7
still,7
might,7
own,7
found,7
country,7
area,7
world,7
around,7
every,7
name,7
keep,7
part,7
Mr,7
too,6
human,6
actually,6
told,6
without,6
thought,6
together,6
example,6
question,6
group,6
until,6
following,6
side,6
white,6
being,6
once,6
here,6
those,6
feel,6
fact,6
close,5
public,5
open,5
seem,5
something,5
sure,5
both,5
night,5
point,5
really,5
life,5
few,5
north,5
house,5
door,5
water,5
long,5
little,5
state,5
line,5
set,5
own,5
under,5
read,5
last,5
never,5
later,5
minutes,4
morning,4
remember,4
while,4
through,4
think,4
though,4
against,4
family,4
before,4
important,4
better,4
during,4
today,4
himself,4
each,4
system,4
program,4
question,4
power,4
money,4
nothing,4
able,4
person,4
already,4
across,4
done,4
free,4
try,4
within,4
along,4
